
geo,latitude,longitude,un_region
Albania,5.7587654,-73.9151617,Southern Europe
Andorra,42.5407167,1.5732033,Southern Europe
Armenia,4.536307,-75.6723751,Western Asia
Austria,47.59397,14.12456,Western Europe
Azerbaijan,40.3936294,47.7872508,Western Asia
Belarus,53.4250605,27.6971358,Eastern Europe
Belgium,50.6402809,4.6667145,Western Europe
Bosnia and Herzegovina,44.3053476,17.5961467,Southern Europe
Bulgaria,42.6073975,25.4856617,Eastern Europe
Croatia,45.3658443,15.6575209,Southern Europe
Cyprus,34.9174159,32.8899026513319,Western Asia
Czechia,49.7439047,15.3381061,Eastern Europe
Denmark,55.670249,10.3333283,Northern Europe
Estonia,58.7523778,25.3319078,Northern Europe
Finland,63.2467777,25.9209164,Northern Europe
France,46.603354,1.8883335,Western Europe
Georgia,32.3293809,-83.1137366,Western Asia
Germany,51.1638175,10.4478313,Western Europe
Greece,38.9953683,21.9877132,Southern Europe
Hungary,47.1817585,19.5060937,Eastern Europe
Iceland,64.9841821,-18.1059013,Northern Europe
Ireland,52.865196,-7.9794599,Northern Europe
Italy,42.6384261,12.674297,Southern Europe
Kosovo,42.5869578,20.9021231,Southern Europe
Latvia,56.8406494,24.7537645,Northern Europe
Liechtenstein,47.1416307,9.5531527,Western Europe
Lithuania,55.3500003,23.7499997,Northern Europe
Luxembourg,49.6112768,6.129799,Western Europe
Malta,35.8885993,14.4476911,Southern Europe
Metropolitan France,46.8192742,1.87462011955867,Western Europe
Moldova,47.2879608,28.5670941,Eastern Europe
Monaco,43.7323492,7.4276832,Western Europe
Montenegro,-29.6826112,-51.4687455,Southern Europe
Netherlands,52.2434979,5.6343227,Western Europe
North Macedonia,41.6171214,21.7168387,Southern Europe
Norway,64.5731537,11.5280364395482,Northern Europe
Poland,52.215933,19.134422,Eastern Europe
Portugal,39.6621648,-8.1353519,Southern Europe
Romania,45.9852129,24.6859225,Eastern Europe
Russia,64.6863136,97.7453061,Eastern Europe
San Marino,43.9458623,12.458306,Southern Europe
Serbia,44.02432285,21.076574332099,Southern Europe
Slovakia,48.7411522,19.4528646,Eastern Europe
Slovenia,46.1199444,14.8153333,Southern Europe
Spain,39.3260685,-4.8379791,Southern Europe
Sweden,59.6749712,14.5208584,Northern Europe
Switzerland,46.7985624,8.2319736,Western Europe
Türkiye,39.294076,35.2316631,Western Asia
Ukraine,49.4871968,31.2718321,Eastern Europe
United Kingdom,54.7023545,-3.2765753,Northern Europe
