
geo,sex,age,year,population
Austria,Males,Y_LT15,2009,645231
Austria,Females,Y_LT15,2009,613892
Austria,Males,Y15-64,2009,2789456
Austria,Females,Y15-64,2009,2723145
Austria,Males,Y_GE65,2009,654123
Austria,Females,Y_GE65,2009,823234
Austria,Males,Y_LT15,2010,648523
Austria,Females,Y_LT15,2010,617234
Austria,Males,Y15-64,2010,2801234
Austria,Females,Y15-64,2010,2735678
Austria,Males,Y_GE65,2010,667890
Austria,Females,Y_GE65,2010,837456
Austria,Males,Y_LT15,2011,651815
Austria,Females,Y_LT15,2011,620576
Austria,Males,Y15-64,2011,2813012
Austria,Females,Y15-64,2011,2748211
Austria,Males,Y_GE65,2011,681657
Austria,Females,Y_GE65,2011,851678
Belgium,Males,Y_LT15,2009,587234
Belgium,Females,Y_LT15,2009,559876
Belgium,Males,Y15-64,2009,3567890
Belgium,Females,Y15-64,2009,3489234
Belgium,Males,Y_GE65,2009,789123
Belgium,Females,Y_GE65,2009,978456
Belgium,Males,Y_LT15,2010,590456
Belgium,Females,Y_LT15,2010,563098
Belgium,Males,Y15-64,2010,3580234
Belgium,Females,Y15-64,2010,3501678
Belgium,Males,Y_GE65,2010,802890
Belgium,Females,Y_GE65,2010,992234
Belgium,Males,Y_LT15,2011,593678
Belgium,Females,Y_LT15,2011,566320
Belgium,Males,Y15-64,2011,3592578
Belgium,Females,Y15-64,2011,3514122
Belgium,Males,Y_GE65,2011,816657
Belgium,Females,Y_GE65,2011,1006012
Bulgaria,Males,Y_LT15,2009,456789
Bulgaria,Females,Y_LT15,2009,434567
Bulgaria,Males,Y15-64,2009,2789456
Bulgaria,Females,Y15-64,2009,2723145
Bulgaria,Males,Y_GE65,2009,567890
Bulgaria,Females,Y_GE65,2009,678901
Bulgaria,Males,Y_LT15,2010,459876
Bulgaria,Females,Y_LT15,2010,437654
Bulgaria,Males,Y15-64,2010,2801234
Bulgaria,Females,Y15-64,2010,2735678
Bulgaria,Males,Y_GE65,2010,580123
Bulgaria,Females,Y_GE65,2010,691234
Bulgaria,Males,Y_LT15,2011,462963
Bulgaria,Females,Y_LT15,2011,440741
Bulgaria,Males,Y15-64,2011,2813012
Bulgaria,Females,Y15-64,2011,2748211
Bulgaria,Males,Y_GE65,2011,592356
Bulgaria,Females,Y_GE65,2011,703567
Cyprus,Males,Y_LT15,2009,89123
Cyprus,Females,Y_LT15,2009,84567
Cyprus,Males,Y15-64,2009,378901
Cyprus,Females,Y15-64,2009,367890
Cyprus,Males,Y_GE65,2009,67890
Cyprus,Females,Y_GE65,2009,78901
Cyprus,Males,Y_LT15,2010,90234
Cyprus,Females,Y_LT15,2010,85678
Cyprus,Males,Y15-64,2010,382345
Cyprus,Females,Y15-64,2010,371234
Cyprus,Males,Y_GE65,2010,69123
Cyprus,Females,Y_GE65,2010,80234
Cyprus,Males,Y_LT15,2011,91345
Cyprus,Females,Y_LT15,2011,86789
Cyprus,Males,Y15-64,2011,385789
Cyprus,Females,Y15-64,2011,374578
Cyprus,Males,Y_GE65,2011,70356
Cyprus,Females,Y_GE65,2011,81567
Czechia,Males,Y_LT15,2009,678901
Czechia,Females,Y_LT15,2009,645678
Czechia,Males,Y15-64,2009,4234567
Czechia,Females,Y15-64,2009,4134567
Czechia,Males,Y_GE65,2009,789012
Czechia,Females,Y_GE65,2009,945678
Czechia,Males,Y_LT15,2010,681234
Czechia,Females,Y_LT15,2010,648901
Czechia,Males,Y15-64,2010,4256789
Czechia,Females,Y15-64,2010,4156789
Czechia,Males,Y_GE65,2010,801345
Czechia,Females,Y_GE65,2010,958901
Czechia,Males,Y_LT15,2011,683567
Czechia,Females,Y_LT15,2011,652124
Czechia,Males,Y15-64,2011,4279012
Czechia,Females,Y15-64,2011,4179012
Czechia,Males,Y_GE65,2011,813678
Czechia,Females,Y_GE65,2011,972124
Germany,Males,Y_LT15,2009,5678901
Germany,Females,Y_LT15,2009,5395678
Germany,Males,Y15-64,2009,27345678
Germany,Females,Y15-64,2009,26834567
Germany,Males,Y_GE65,2009,8901234
Germany,Females,Y_GE65,2009,10456789
Germany,Males,Y_LT15,2010,5712345
Germany,Females,Y_LT15,2010,5429012
Germany,Males,Y15-64,2010,27456789
Germany,Females,Y15-64,2010,26945678
Germany,Males,Y_GE65,2010,9012345
Germany,Females,Y_GE65,2010,10567890
Germany,Males,Y_LT15,2011,5745689
Germany,Females,Y_LT15,2011,5462346
Germany,Males,Y15-64,2011,27567890
Germany,Females,Y15-64,2011,27056789
Germany,Males,Y_GE65,2011,9123456
Germany,Females,Y_GE65,2011,10678901
Denmark,Males,Y_LT15,2009,345678
Denmark,Females,Y_LT15,2009,328901
Denmark,Males,Y15-64,2009,1856789
Denmark,Females,Y15-64,2009,1812345
Denmark,Males,Y_GE65,2009,456789
Denmark,Females,Y_GE65,2009,523456
Denmark,Males,Y_LT15,2010,348901
Denmark,Females,Y_LT15,2010,332124
Denmark,Males,Y15-64,2010,1867890
Denmark,Females,Y15-64,2010,1823456
Denmark,Males,Y_GE65,2010,467890
Denmark,Females,Y_GE65,2010,534567
Denmark,Males,Y_LT15,2011,352124
Denmark,Females,Y_LT15,2011,335347
Denmark,Males,Y15-64,2011,1878901
Denmark,Females,Y15-64,2011,1834567
Denmark,Males,Y_GE65,2011,478901
Denmark,Females,Y_GE65,2011,545678
Estonia,Males,Y_LT15,2009,78901
Estonia,Females,Y_LT15,2009,75234
Estonia,Males,Y15-64,2009,456789
Estonia,Females,Y15-64,2009,445678
Estonia,Males,Y_GE65,2009,89012
Estonia,Females,Y_GE65,2009,112345
Estonia,Males,Y_LT15,2010,79234
Estonia,Females,Y_LT15,2010,75567
Estonia,Males,Y15-64,2010,459012
Estonia,Females,Y15-64,2010,448901
Estonia,Males,Y_GE65,2010,90345
Estonia,Females,Y_GE65,2010,113678
Estonia,Males,Y_LT15,2011,79567
Estonia,Females,Y_LT15,2011,75890
Estonia,Males,Y15-64,2011,461235
Estonia,Females,Y15-64,2011,452124
Estonia,Males,Y_GE65,2011,91678
Estonia,Females,Y_GE65,2011,115901
Finland,Males,Y_LT15,2009,345678
Finland,Females,Y_LT15,2009,328901
Finland,Males,Y15-64,2009,1789012
Finland,Females,Y15-64,2009,1745678
Finland,Males,Y_GE65,2009,456789
Finland,Females,Y_GE65,2009,523456
Finland,Males,Y_LT15,2010,348901
Finland,Females,Y_LT15,2010,332124
Finland,Males,Y15-64,2010,1801235
Finland,Females,Y15-64,2010,1757891
Finland,Males,Y_GE65,2010,467890
Finland,Females,Y_GE65,2010,534567
Finland,Males,Y_LT15,2011,352124
Finland,Females,Y_LT15,2011,335347
Finland,Males,Y15-64,2011,1813458
Finland,Females,Y15-64,2011,1770124
Finland,Males,Y_GE65,2011,478901
Finland,Females,Y_GE65,2011,545678
France,Males,Y_LT15,2009,6234567
France,Females,Y_LT15,2009,5934567
France,Males,Y15-64,2009,20789012
France,Females,Y15-64,2009,20345678
France,Males,Y_GE65,2009,5456789
France,Females,Y_GE65,2009,6789012
France,Males,Y_LT15,2010,6267890
France,Females,Y_LT15,2010,5967890
France,Males,Y15-64,2010,20890123
France,Females,Y15-64,2010,20456789
France,Males,Y_GE65,2010,5567890
France,Females,Y_GE65,2010,6890123
France,Males,Y_LT15,2011,6301234
France,Females,Y_LT15,2011,6001234
France,Males,Y15-64,2011,20991235
France,Females,Y15-64,2011,20567891
France,Males,Y_GE65,2011,5678901
France,Females,Y_GE65,2011,6991235
Greece,Males,Y_LT15,2009,567890
Greece,Females,Y_LT15,2009,539012
Greece,Males,Y15-64,2009,3789012
Greece,Females,Y15-64,2009,3701234
Greece,Males,Y_GE65,2009,789012
Greece,Females,Y_GE65,2009,912345
Greece,Males,Y_LT15,2010,571234
Greece,Females,Y_LT15,2010,542346
Greece,Males,Y15-64,2010,3812345
Greece,Females,Y15-64,2010,3724567
Greece,Males,Y_GE65,2010,801234
Greece,Females,Y_GE65,2010,924567
Greece,Males,Y_LT15,2011,574567
Greece,Females,Y_LT15,2011,545679
Greece,Males,Y15-64,2011,3835678
Greece,Females,Y15-64,2011,3747890
Greece,Males,Y_GE65,2011,813456
Greece,Females,Y_GE65,2011,936789
Hungary,Males,Y_LT15,2009,567890
Hungary,Females,Y_LT15,2009,539012
Hungary,Males,Y15-64,2009,3234567
Hungary,Females,Y15-64,2009,3156789
Hungary,Males,Y_GE65,2009,678901
Hungary,Females,Y_GE65,2009,823456
Hungary,Males,Y_LT15,2010,571234
Hungary,Females,Y_LT15,2010,542346
Hungary,Males,Y15-64,2010,3256789
Hungary,Females,Y15-64,2010,3178901
Hungary,Males,Y_GE65,2010,690123
Hungary,Females,Y_GE65,2010,834567
Hungary,Males,Y_LT15,2011,574567
Hungary,Females,Y_LT15,2011,545679
Hungary,Males,Y15-64,2011,3278901
Hungary,Females,Y15-64,2011,3201023
Hungary,Males,Y_GE65,2011,701234
Hungary,Females,Y_GE65,2011,845678
Ireland,Males,Y_LT15,2009,345678
Ireland,Females,Y_LT15,2009,328901
Ireland,Males,Y15-64,2009,1456789
Ireland,Females,Y15-64,2009,1423456
Ireland,Males,Y_GE65,2009,234567
Ireland,Females,Y_GE65,2009,267890
Ireland,Males,Y_LT15,2010,348901
Ireland,Females,Y_LT15,2010,332124
Ireland,Males,Y15-64,2010,1467890
Ireland,Females,Y15-64,2010,1434567
Ireland,Males,Y_GE65,2010,245678
Ireland,Females,Y_GE65,2010,278901
Ireland,Males,Y_LT15,2011,352124
Ireland,Females,Y_LT15,2011,335347
Ireland,Males,Y15-64,2011,1478901
Ireland,Females,Y15-64,2011,1445678
Ireland,Males,Y_GE65,2011,256789
Ireland,Females,Y_GE65,2011,289912
Italy,Males,Y_LT15,2009,4567890
Italy,Females,Y_LT15,2009,4334567
Italy,Males,Y15-64,2009,19789012
Italy,Females,Y15-64,2009,19345678
Italy,Males,Y_GE65,2009,6234567
Italy,Females,Y_GE65,2009,7789012
Italy,Males,Y_LT15,2010,4601234
