sex,age,geo,year,population,id
Females,Total,Andorra,1995,30228,1
Females,Total,Andorra,1996,30200,2
Females,Total,Andorra,1997,30627,3
Females,Total,Andorra,1998,31025,4
Females,Total,Andorra,1999,31384,5
Females,Total,Andorra,2000,31538,6
Females,Total,Andorra,2001,31576,7
Females,Total,Andorra,2002,31915,8
Females,Total,Andorra,2003,32354,9
Females,Total,Andorra,2004,34738,10
Females,Total,Andorra,2005,36790,11
Females,Total,Andorra,2006,37575,12
Females,Total,Andorra,2007,38705,13
Females,Total,Andorra,2008,39622,14
Females,Total,Andorra,2009,40303,15
Females,Total,Andorra,2010,40296,16
Females,Total,Andorra,2011,38252,17
Females,Total,Andorra,2012,38252,18
Females,Total,Andorra,2013,37408,19
Females,Total,Andorra,2019,37388,20
Females,Total,Albania,2000,1526762,21
Females,Total,Albania,2001,1535822,22
Females,Total,Albania,2002,1532563,23
Females,Total,Albania,2003,1526180,24
Females,Total,Albania,2004,1520481,25
Females,Total,Albania,2005,1512745,26
Females,Total,Albania,2006,1503969,27
Females,Total,Albania,2007,1492439,28
Females,Total,Albania,2008,1480358,29
Females,Total,Albania,2009,1468935,30
Females,Total,Albania,2010,1459025,31
Females,Total,Albania,2011,1451691,32
Females,Total,Albania,2012,1444234,33
Females,Total,Albania,2013,1437193,34
Females,Total,Albania,2014,1430827,35
Females,Total,Albania,2015,1424597,36
Females,Total,Albania,2016,1417141,37
Females,Total,Albania,2017,1423050,38
Females,Total,Albania,2018,1431715,39
Females,Total,Albania,2019,1432833,40
Females,Total,Albania,2020,1425342,41
Females,Total,Albania,2021,1419759,42
Females,Total,Albania,2023,1394864,43
Females,Total,Armenia,2000,1681200,44
Females,Total,Armenia,2001,1672200,45
Females,Total,Armenia,2002,1670500,46
Females,Total,Armenia,2003,1666700,47
Females,Total,Armenia,2004,1665500,48
Females,Total,Armenia,2005,1665200,49
Females,Total,Armenia,2006,1665123,50
Females,Total,Armenia,2007,1665554,51
Females,Total,Armenia,2008,1667529,52
Females,Total,Armenia,2009,1669711,53
Females,Total,Armenia,2010,1673656,54
Females,Total,Armenia,2011,1679066,55
Females,Total,Armenia,2012,1684000,56
Females,Total,Armenia,2015,1571450,57
Females,Total,Armenia,2016,1569535,58
Females,Total,Armenia,2017,1567380,59
Females,Total,Armenia,2018,1564533,60
Females,Total,Armenia,2019,1563538,61
Females,Total,Armenia,2020,1562689,62
Females,Total,Armenia,2021,1565144,63
Females,Total,Armenia,2024,1577675,64
Females,Total,Austria,1995,4112289,65
Females,Total,Austria,1996,4116117,66
Females,Total,Austria,1997,4120947,67
Females,Total,Austria,1998,4122811,68
Females,Total,Austria,1999,4126432,69
Females,Total,Austria,2000,4133855,70
Females,Total,Austria,2001,4139842,71
Females,Total,Austria,2002,4156906,72
Females,Total,Austria,2003,4170674,73
Females,Total,Austria,2004,4189973,74
Females,Total,Austria,2005,4216493,75
Females,Total,Austria,2006,4239954,76
Females,Total,Austria,2007,4252922,77
Females,Total,Austria,2008,4265500,78
Females,Total,Austria,2009,4278068,79
Females,Total,Austria,2010,4285442,80
Females,Total,Austria,2011,4296293,81
Females,Total,Austria,2012,4309977,82
Females,Total,Austria,2013,4328238,83
Females,Total,Austria,2014,4352447,84
Females,Total,Austria,2015,4384529,85
Females,Total,Austria,2016,4427918,86
Females,Total,Austria,2017,4460424,87
Females,Total,Austria,2018,4483749,88
Females,Total,Austria,2019,4501742,89
Females,Total,Austria,2020,4522292,90
Females,Total,Austria,2021,4535712,91
Females,Total,Austria,2022,4553444,92
Females,Total,Austria,2023,4619957,93
Females,Total,Austria,2024,4643918,94
Females,Total,Azerbaijan,2000,4097900,95
Females,Total,Azerbaijan,2001,4126500,96
Females,Total,Azerbaijan,2002,4152600,97
Females,Total,Azerbaijan,2003,4179500,98
Females,Total,Azerbaijan,2004,4207200,99
Females,Total,Azerbaijan,2005,4243600,100
Females,Total,Azerbaijan,2006,4284200,101
Females,Total,Azerbaijan,2007,4327700,102
Females,Total,Azerbaijan,2008,4371800,103
Females,Total,Azerbaijan,2009,4538600,104
Females,Total,Azerbaijan,2010,4542083,105
Females,Total,Azerbaijan,2011,4594023,106
Females,Total,Azerbaijan,2012,4651601,107
Females,Total,Azerbaijan,2013,4707690,108
Females,Total,Azerbaijan,2014,4763571,109
Females,Total,Azerbaijan,2015,4817181,110
Females,Total,Azerbaijan,2016,4870002,111
Females,Total,Azerbaijan,2017,4918771,112
Females,Total,Azerbaijan,2018,4960058,113
Females,Total,Azerbaijan,2019,4999053,114
Females,Total,Azerbaijan,2020,5039100,115
Females,Total,Azerbaijan,2021,5065288,116
Females,Total,Azerbaijan,2022,5081846,117
Females,Total,Azerbaijan,2023,5087516,118
Females,Total,Azerbaijan,2024,5113564,119
Females,Total,Bosnia and Herzegovina,1997,1922585,120
Females,Total,Bosnia and Herzegovina,2000,1914073,121
Females,Total,Bosnia and Herzegovina,2001,1932756,122
Females,Total,Bosnia and Herzegovina,2002,1944715,123
Females,Total,Bosnia and Herzegovina,2003,1953478,124
Females,Total,Bosnia and Herzegovina,2004,1957082,125
Females,Total,Bosnia and Herzegovina,2005,1959692,126
Females,Total,Bosnia and Herzegovina,2006,1959752,127
Females,Total,Bosnia and Herzegovina,2007,1960449,128
Females,Total,Bosnia and Herzegovina,2008,1960361,129
Females,Total,Bosnia and Herzegovina,2009,1965986,130
Females,Total,Bosnia and Herzegovina,2010,1966011,131
